,1GHz,2GHz,3GHz,4GHz,L2 cache,DDR3,DDR4 8 8 ,DDR4 4 16,sys1,sys2,sys3,sys4
minor,1375894000,820677000,642036654,548822000,719909500,819731000,819671000,820515000,820677000,753742000,741024000,723608500
timingSimple,2705331000,1400882000,967103262,748680000,1372696500,,1400434000,,1400882000,1378027000,1373401000,1365186500
